input,target
Determine whether the following statement or statements are plausible or implausible: Daniel Jones hit the back shoulder fade in the NFC championship,plausible
Determine whether the following statement or statements are plausible or implausible: Chris Godwin earned an indirect kick,implausible
Determine whether the following statement or statements are plausible or implausible: Bastian Schweinsteiger scored in added time,plausible
Determine whether the following statement or statements are plausible or implausible: Jonathan Marchessault scored on the power play in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Patrik Laine skated backwards,plausible
Determine whether the following statement or statements are plausible or implausible: Jimmy Garoppolo fumbled the ball,plausible
Determine whether the following statement or statements are plausible or implausible: Daniel Jones fumbled the ball,plausible
Determine whether the following statement or statements are plausible or implausible: Javier Pastore went five hole,implausible
Determine whether the following statement or statements are plausible or implausible: Ryan Fitzpatrick scored a touchdown,plausible
Determine whether the following statement or statements are plausible or implausible: Amari Cooper scored a penalty kick,implausible
Determine whether the following statement or statements are plausible or implausible: Ben Simmons set the hard screen in the Western Conference Finals,plausible
Determine whether the following statement or statements are plausible or implausible: Blake Snell hit a single,plausible
Determine whether the following statement or statements are plausible or implausible: Eden Hazard took a corner kick,plausible
Determine whether the following statement or statements are plausible or implausible: Eden Hazard performed a cruyff turn,plausible
Determine whether the following statement or statements are plausible or implausible: Brady Tkachuk scored a header goal,implausible
Determine whether the following statement or statements are plausible or implausible: John Carlson backhanded a shot in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Darius Slayton got into the endzone,plausible
Determine whether the following statement or statements are plausible or implausible: Gordon Hayward hit the back of the rim,plausible
Determine whether the following statement or statements are plausible or implausible: Jerry Jeudy scored on the power play,implausible
Determine whether the following statement or statements are plausible or implausible: Domantas Sabonis ran out of bounds,implausible
Determine whether the following statement or statements are plausible or implausible: James Harden scored in added time in the FA Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Chris Godwin crossed the blue line in the Stanley Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Toni Kroos was caught offsides,plausible
Determine whether the following statement or statements are plausible or implausible: Vincent Kompany scored a bicycle kick,plausible
Determine whether the following statement or statements are plausible or implausible: Kyle Tucker grounded out to second base in the World Series,plausible
Determine whether the following statement or statements are plausible or implausible: Tyler Lockett caught the back shoulder fade,plausible
Determine whether the following statement or statements are plausible or implausible: Robin Lehner swung to protect the runner in the World Series,implausible
Determine whether the following statement or statements are plausible or implausible: Yaya Toure scored a freekick,plausible
Determine whether the following statement or statements are plausible or implausible: Liam Hendricks was safe at first,plausible
Determine whether the following statement or statements are plausible or implausible: Mapou Yanga-M'Biwa performed a slide tackle,plausible
Determine whether the following statement or statements are plausible or implausible: Damian Lillard called for the screen in the Eastern Conference Finals,plausible
Determine whether the following statement or statements are plausible or implausible: Jordan Binnington got a base hit,implausible
Determine whether the following statement or statements are plausible or implausible: Tuukka Rask passed the puck,plausible
Determine whether the following statement or statements are plausible or implausible: Ozzie Albies pitched a complete game,plausible
Determine whether the following statement or statements are plausible or implausible: Robert Lewandowski scored a reverse layup,implausible
Determine whether the following statement or statements are plausible or implausible: David Luiz shot with the left foot,plausible
Determine whether the following statement or statements are plausible or implausible: Marcus Smart took a heat check three,plausible
Determine whether the following statement or statements are plausible or implausible: Stefon Diggs hit the slant pass,plausible
Determine whether the following statement or statements are plausible or implausible: Jonas Valanciunas comitted an offensive foul,plausible
Determine whether the following statement or statements are plausible or implausible: Javier Baez struck out in the World Series,plausible
Determine whether the following statement or statements are plausible or implausible: Roman Josi scored a windmill dunk,implausible
Determine whether the following statement or statements are plausible or implausible: Bo Bichette threw to first base,plausible
Determine whether the following statement or statements are plausible or implausible: Jack Eichel got into the endzone,implausible
Determine whether the following statement or statements are plausible or implausible: Brandin Cooks was safe at home,implausible
Determine whether the following statement or statements are plausible or implausible: Khyri Thomas  hit nothing but net,plausible
Determine whether the following statement or statements are plausible or implausible: Nicklas Backstrom earned a trip to the penalty box,plausible
Determine whether the following statement or statements are plausible or implausible: Ben Roethlisberger took a backhand shot,implausible
Determine whether the following statement or statements are plausible or implausible: Jaylen Brown was called for the goal tend,plausible
Determine whether the following statement or statements are plausible or implausible: Toni Kroos converted the first down in the AFC divisional round,implausible
Determine whether the following statement or statements are plausible or implausible: Caris LeVert scored a reverse dunk,plausible
Determine whether the following statement or statements are plausible or implausible: Bryce Harper hit a double in the American League Championship Series,plausible
Determine whether the following statement or statements are plausible or implausible: Pete Alonso hit a triple in the World Series,plausible
Determine whether the following statement or statements are plausible or implausible: Jose Altuve was out at first,plausible
Determine whether the following statement or statements are plausible or implausible: Robert Woods killed the powerplay,implausible
Determine whether the following statement or statements are plausible or implausible: Yoan Moncada was called for icing,implausible
Determine whether the following statement or statements are plausible or implausible: Norman Powell was called for the goal tend,plausible
Determine whether the following statement or statements are plausible or implausible: Gerard Pique watched the pitch go by in the National League Championship Series,implausible
Determine whether the following statement or statements are plausible or implausible: Connor McDavid wristed a shot,plausible
Determine whether the following statement or statements are plausible or implausible: Stephen Strasburg performed a cruyff turn,implausible
Determine whether the following statement or statements are plausible or implausible: Tom Wilson backhanded a shot,plausible
Determine whether the following statement or statements are plausible or implausible: Jayson Tatum nutmegged the defender,implausible
Determine whether the following statement or statements are plausible or implausible: LeBron James took a corner kick,implausible
Determine whether the following statement or statements are plausible or implausible: Collin Sexton nutmegged the defender,implausible
Determine whether the following statement or statements are plausible or implausible: Zach Plesac gained five yards in the NFC championship,implausible
Determine whether the following statement or statements are plausible or implausible: Paul Goldschmidt walked on ball four,plausible
Determine whether the following statement or statements are plausible or implausible: Lamar Jackson hit the back shoulder fade,plausible
Determine whether the following statement or statements are plausible or implausible: Giorgio Chiellini committed a handball in the FA Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Collin Sexton took a throw in,implausible
Determine whether the following statement or statements are plausible or implausible: Tyler Glasnow threw to first base,plausible
Determine whether the following statement or statements are plausible or implausible: Christian Eriksen scored in extra time,plausible
Determine whether the following statement or statements are plausible or implausible: A.J. Green scored in the third period,implausible
Determine whether the following statement or statements are plausible or implausible: Lamar Jackson scored a touchdown,plausible
Determine whether the following statement or statements are plausible or implausible: Petr Cech was safe at first,implausible
Determine whether the following statement or statements are plausible or implausible: Michael Thomas took the snap,plausible
Determine whether the following statement or statements are plausible or implausible: Calvin Ridley ran out of bounds,plausible
Determine whether the following statement or statements are plausible or implausible: Carlos Tevez skated backwards,implausible
Determine whether the following statement or statements are plausible or implausible: Amari Cooper scored a touchdown,plausible
Determine whether the following statement or statements are plausible or implausible: Tuukka Rask killed the powerplay,plausible
Determine whether the following statement or statements are plausible or implausible: Drew Brees went for it on fourth down,plausible
Determine whether the following statement or statements are plausible or implausible: Ryan O'Reilly hit the wheel route,implausible
Determine whether the following statement or statements are plausible or implausible: Terry Rozier  shot from beyond the arc in the Western Conference Finals,plausible
Determine whether the following statement or statements are plausible or implausible: Sergio Ramos took a corner three in the Eastern Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: Aaron Nola hit a walkoff homer,plausible
Determine whether the following statement or statements are plausible or implausible: Adalberto Mondesi was safe at first,plausible
Determine whether the following statement or statements are plausible or implausible: Gleyber Torres scored a bicycle kick,implausible
Determine whether the following statement or statements are plausible or implausible: Yaya Toure struck out,implausible
Determine whether the following statement or statements are plausible or implausible: Collin Sexton hit the buzzer beater,plausible
Determine whether the following statement or statements are plausible or implausible: Baker Mayfield went for it on fourth down,plausible
Determine whether the following statement or statements are plausible or implausible: Willian took a left footed shot in the Champions League Final,plausible
Determine whether the following statement or statements are plausible or implausible: James Harden was called for the goal tend,plausible
Determine whether the following statement or statements are plausible or implausible: Kyle Lowry dunked the ball,plausible
Determine whether the following statement or statements are plausible or implausible: Nerlens Noel was out at home,implausible
Determine whether the following statement or statements are plausible or implausible: Chris Paul  ran out of bounds,implausible
Determine whether the following statement or statements are plausible or implausible: Al Horford scored in the shootout,implausible
Determine whether the following statement or statements are plausible or implausible: Kenta Maeda caught the screen pass,implausible
Determine whether the following statement or statements are plausible or implausible: Luis Suarez fumbled the ball,implausible
Determine whether the following statement or statements are plausible or implausible: David Villa earned a red card in the World Cup,plausible
Determine whether the following statement or statements are plausible or implausible: George Springer committed a blocking foul,implausible
Determine whether the following statement or statements are plausible or implausible: Julio Jones passed the puck,implausible
Determine whether the following statement or statements are plausible or implausible: Kawhi Leonard hit the slant pass,implausible
Determine whether the following statement or statements are plausible or implausible: Mats Hummels earned a direct kick,plausible
Determine whether the following statement or statements are plausible or implausible: Stephan El Shaarawy shot with the left foot,plausible
Determine whether the following statement or statements are plausible or implausible: Rhys Hoskins hit a double in the American League Championship Series,plausible
Determine whether the following statement or statements are plausible or implausible: Kristaps Porzingis launched a hail mary,implausible
Determine whether the following statement or statements are plausible or implausible: A.J. Green hit the back shoulder fade in the Superbowl,plausible
Determine whether the following statement or statements are plausible or implausible: Ryan Tannehill converted the first down,plausible
Determine whether the following statement or statements are plausible or implausible: Kyle Palmieri did a double stepover,implausible
Determine whether the following statement or statements are plausible or implausible: Sean Couturier maradona'd the defender,implausible
Determine whether the following statement or statements are plausible or implausible: Luka Doncic  hit nothing but net,plausible
Determine whether the following statement or statements are plausible or implausible: Gordon Hayward was flagged on the play,implausible
Determine whether the following statement or statements are plausible or implausible: De'Aaron Fox scored a bicycle kick,implausible
Determine whether the following statement or statements are plausible or implausible: Paul Goldschmidt threw a touchdown,implausible
Determine whether the following statement or statements are plausible or implausible: Darius Slayton earned a trip to the penalty box,implausible
Determine whether the following statement or statements are plausible or implausible: Juan Mata scored a corner kick in the FA Cup,plausible
Determine whether the following statement or statements are plausible or implausible: T.Y. Hilton drew a flag on the play,plausible
Determine whether the following statement or statements are plausible or implausible: Marcell Ozuna scored a touchdown,implausible
Determine whether the following statement or statements are plausible or implausible: Luka Doncic  scored a reverse layup,plausible
Determine whether the following statement or statements are plausible or implausible: Jesus Luzardo was out at third,plausible
Determine whether the following statement or statements are plausible or implausible: Chris Godwin converted the first down in the AFC divisional round,plausible
Determine whether the following statement or statements are plausible or implausible: Franck Ribery earned an indirect kick,plausible
Determine whether the following statement or statements are plausible or implausible: Jonathan Toews scored a bicycle kick in the FA Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Marcelo got on the end of a through ball,plausible
Determine whether the following statement or statements are plausible or implausible: Mathew Barzal called for the screen,implausible
Determine whether the following statement or statements are plausible or implausible: Vincent Kompany comitted a three second violation,implausible
Determine whether the following statement or statements are plausible or implausible: Michael Thomas killed the powerplay in the Stanley Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Jamison Crowder airballed the shot,implausible
Determine whether the following statement or statements are plausible or implausible: Mathew Barzal banked the shot in in the NBA Championship,implausible
Determine whether the following statement or statements are plausible or implausible: Delon Wright went for it on fourth down,implausible
Determine whether the following statement or statements are plausible or implausible: Michael Porter Jr. was out at home,implausible
Determine whether the following statement or statements are plausible or implausible: Trevor Bauer swung to protect the runner in the World Series,plausible
Determine whether the following statement or statements are plausible or implausible: Moussa Dembele gained five yards,implausible
Determine whether the following statement or statements are plausible or implausible: Amari Cooper headed back to the dugout,implausible
Determine whether the following statement or statements are plausible or implausible: Carlos Correa threw to first base,plausible
Determine whether the following statement or statements are plausible or implausible: Henry Ruggs launched a hail mary in the NFC championship,plausible
Determine whether the following statement or statements are plausible or implausible: Miles Bridges hit the slant pass in the AFC divisional round,implausible
Determine whether the following statement or statements are plausible or implausible: Neymar did a double stepover,plausible
Determine whether the following statement or statements are plausible or implausible: Alex Pietrangelo took a backhand shot,plausible
Determine whether the following statement or statements are plausible or implausible: Alex Pietrangelo hit the screen pass in the NFC divisional round,implausible
Determine whether the following statement or statements are plausible or implausible: Pete Alonso hit a homerun,plausible
Determine whether the following statement or statements are plausible or implausible: Marquise Brown did a maradona on the defender,implausible
Determine whether the following statement or statements are plausible or implausible: Thiago Silva took a backhand shot in the Stanley Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Gerrit Cole converted the double play,plausible
Determine whether the following statement or statements are plausible or implausible: Marouane Fellaini struck out,implausible
Determine whether the following statement or statements are plausible or implausible: Mike Williams scored a bicycle kick in the FA Cup,implausible
Determine whether the following statement or statements are plausible or implausible: James Karinchak crossed the blue line,implausible
Determine whether the following statement or statements are plausible or implausible: Buddy Hield crossed the blue line,implausible
Determine whether the following statement or statements are plausible or implausible: Cristiano Ronaldo converted the first down in the Superbowl,implausible
Determine whether the following statement or statements are plausible or implausible: Malik Beasley  drove into the restricted area,plausible
Determine whether the following statement or statements are plausible or implausible: Frederik Andersen took a three,implausible
Determine whether the following statement or statements are plausible or implausible: Keenan Allen was called for slashing in the Stanley Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Joe Burrow was flagged on the play,plausible
Determine whether the following statement or statements are plausible or implausible: Connor McDavid scored a penalty kick,implausible
Determine whether the following statement or statements are plausible or implausible: Bam Adebayo took a turnaround jumper,plausible
Determine whether the following statement or statements are plausible or implausible: Claude Giroux went five hole,plausible
Determine whether the following statement or statements are plausible or implausible: Tua Tagovailoa was safe at home,implausible
Determine whether the following statement or statements are plausible or implausible: Adam Thielen changed direction in the backfield,plausible
Determine whether the following statement or statements are plausible or implausible: Julian Edelman fumbled the ball,plausible
Determine whether the following statement or statements are plausible or implausible: J.D. Martinez hit a homerun,plausible
Determine whether the following statement or statements are plausible or implausible: Kawhi Leonard scored a windmill dunk,plausible
Determine whether the following statement or statements are plausible or implausible: Edwin Diaz scored a bicycle kick,implausible
Determine whether the following statement or statements are plausible or implausible: Freddie Freeman banked the shot in,implausible
Determine whether the following statement or statements are plausible or implausible: Darijo Srna got on the end of a through ball,plausible
Determine whether the following statement or statements are plausible or implausible: Juan Soto spent time in the penalty box,implausible
Determine whether the following statement or statements are plausible or implausible: Kevin Durant walked to first base,implausible
Determine whether the following statement or statements are plausible or implausible: Edinson Cavani hit nothing but net,implausible
Determine whether the following statement or statements are plausible or implausible: Radamel Falcao hit the screen pass,implausible
Determine whether the following statement or statements are plausible or implausible: Fred VanVleet passed the puck,implausible
Determine whether the following statement or statements are plausible or implausible: Klaas Jan Huntelaar scored the easy layup,implausible
Determine whether the following statement or statements are plausible or implausible: John Collins took a turnaround jumper in the Eastern Conference Finals,plausible
Determine whether the following statement or statements are plausible or implausible: Connor McDavid earned a red card,implausible
Determine whether the following statement or statements are plausible or implausible: P.J. Washington pitched a shutout,implausible
Determine whether the following statement or statements are plausible or implausible: Gleyber Torres got a base hit,plausible
Determine whether the following statement or statements are plausible or implausible: William Nylander scored in the shootout in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: AJ Pollock walked to first base in the World Series,plausible
Determine whether the following statement or statements are plausible or implausible: Zach Werenski shot the puck,plausible
Determine whether the following statement or statements are plausible or implausible: Julio Jones was called for the goal tend,implausible
Determine whether the following statement or statements are plausible or implausible: Kawhi Leonard took a turnaround jumper,plausible
Determine whether the following statement or statements are plausible or implausible: Nick Castellanos scored in extra time,implausible
Determine whether the following statement or statements are plausible or implausible: Golden Tate was flagged on the play in the NFC championship,plausible
Determine whether the following statement or statements are plausible or implausible: Zach Plesac did a double stepover,implausible
Determine whether the following statement or statements are plausible or implausible: Khris Middleton scored a reverse dunk,plausible
Determine whether the following statement or statements are plausible or implausible: Tyler Boyd hit the screen pass in the NFC divisional round,plausible
Determine whether the following statement or statements are plausible or implausible: Max Pacioretty skated backwards,plausible
Determine whether the following statement or statements are plausible or implausible: Mathieu Valbuena was caught offsides,plausible
Determine whether the following statement or statements are plausible or implausible: Hulk hit a triple,implausible
Determine whether the following statement or statements are plausible or implausible: Aaron Nola converted the first down,implausible
Determine whether the following statement or statements are plausible or implausible: Jack Eichel dunked the ball,implausible
Determine whether the following statement or statements are plausible or implausible: Miro Heiskanen took to the ice in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Tom Brady converted the first down,plausible
Determine whether the following statement or statements are plausible or implausible: Jacob Markstrom entered the attacking zone in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Raisel Iglesias drove into the paint,implausible
Determine whether the following statement or statements are plausible or implausible: Kyle Connor scored a freekick,implausible
Determine whether the following statement or statements are plausible or implausible: Jayson Tatum was called for the goal tend,plausible
Determine whether the following statement or statements are plausible or implausible: Timo Meier took a backhand shot in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Brandon Ingram shot the puck,implausible
Determine whether the following statement or statements are plausible or implausible: Jonas Valanciunas beat the buzzer,plausible
Determine whether the following statement or statements are plausible or implausible: LeBron James took a corner three,plausible
Determine whether the following statement or statements are plausible or implausible: Allen Robinson converted the first down,plausible
Determine whether the following statement or statements are plausible or implausible: Morgan Rielly swung to protect the runner,implausible
Determine whether the following statement or statements are plausible or implausible: Mario Balotelli took a left footed shot in the Champions League Final,plausible
Determine whether the following statement or statements are plausible or implausible: Nathan MacKinnon hit the wheel route,implausible
Determine whether the following statement or statements are plausible or implausible: Cooper Kupp launched the half court shot in the Western Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: Stephan El Shaarawy hit a single,implausible
Determine whether the following statement or statements are plausible or implausible: Aaron Judge caught the back shoulder fade,implausible
Determine whether the following statement or statements are plausible or implausible: Kenny Golladay took the snap,plausible
Determine whether the following statement or statements are plausible or implausible: Kyle Tucker hit a homerun,plausible
Determine whether the following statement or statements are plausible or implausible: Brayden Schenn scored a corner kick,implausible
Determine whether the following statement or statements are plausible or implausible: Paulinho headed back to the dugout in the National League Championship Series,implausible
Determine whether the following statement or statements are plausible or implausible: Mookie Betts took a side-step three,implausible
Determine whether the following statement or statements are plausible or implausible: Emmanuel Sanders got a base hit,implausible
Determine whether the following statement or statements are plausible or implausible: Adam Thielen got on base,implausible
Determine whether the following statement or statements are plausible or implausible: Karl-Anthony Towns did a double stepover,implausible
Determine whether the following statement or statements are plausible or implausible: Andrea Pirlo went five hole,implausible
Determine whether the following statement or statements are plausible or implausible: Terry Rozier  shot a free throw,plausible
Determine whether the following statement or statements are plausible or implausible: Lonzo Ball took a long two,plausible
Determine whether the following statement or statements are plausible or implausible: Khyri Thomas  crossed the blue line,implausible
Determine whether the following statement or statements are plausible or implausible: Mapou Yanga-M'Biwa shot from outside the eighteen,plausible
Determine whether the following statement or statements are plausible or implausible: Gabriel Landeskog launched the desperation heave,implausible
Determine whether the following statement or statements are plausible or implausible: Trae Young launched a triple,plausible
Determine whether the following statement or statements are plausible or implausible: Fernando Tatis Jr. earned a red card,implausible
Determine whether the following statement or statements are plausible or implausible: Claude Giroux was called for icing,plausible
Determine whether the following statement or statements are plausible or implausible: Kailer Yamamoto performed a slide tackle in the European Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Manny Machado hit a homerun,plausible
Determine whether the following statement or statements are plausible or implausible: Khyri Thomas  committed a three second violation in the NBA Championship,plausible
Determine whether the following statement or statements are plausible or implausible: Mike Conley called for the screen,plausible
Determine whether the following statement or statements are plausible or implausible: Alex Pietrangelo shot the puck in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: AJ Pollock pitched a complete game,plausible
Determine whether the following statement or statements are plausible or implausible: Fred VanVleet was called for the goal tend,plausible
Determine whether the following statement or statements are plausible or implausible: Nicklas Backstrom scored on the power play,plausible
Determine whether the following statement or statements are plausible or implausible: Miles Bridges worked a full count,implausible
Determine whether the following statement or statements are plausible or implausible: Toni Kroos scored a header goal,plausible
Determine whether the following statement or statements are plausible or implausible: Fred VanVleet took to the ice,implausible
Determine whether the following statement or statements are plausible or implausible: Matt Chapman hit a walkoff homer,plausible
Determine whether the following statement or statements are plausible or implausible: Javi Martinez earned a red card,plausible
Determine whether the following statement or statements are plausible or implausible: Stephen Curry took an elbow jumper,plausible
Determine whether the following statement or statements are plausible or implausible: John Collins threw a touchdown in the NFC divisional round,implausible
Determine whether the following statement or statements are plausible or implausible: Karim Benzema committed a blocking foul in the NBA Championship,implausible
Determine whether the following statement or statements are plausible or implausible: Vladimir Guerrero Jr. walked to first base,plausible
Determine whether the following statement or statements are plausible or implausible: Nick Foles changed direction in the backfield,plausible
Determine whether the following statement or statements are plausible or implausible: Zach LaVine  airballed the shot in the Western Conference Finals,plausible
Determine whether the following statement or statements are plausible or implausible: John Brown went for it on fourth down in the NFC championship,plausible
Determine whether the following statement or statements are plausible or implausible: Luka Modric committed a handball,plausible
Determine whether the following statement or statements are plausible or implausible: Ben Simmons called for the screen,plausible
Determine whether the following statement or statements are plausible or implausible: Ben Roethlisberger lost control of the puck,implausible
Determine whether the following statement or statements are plausible or implausible: Hyun Jin Ryu beat the shot clock,implausible
Determine whether the following statement or statements are plausible or implausible: Chris Boucher took a side-step three,plausible
Determine whether the following statement or statements are plausible or implausible: Juan Soto did a double stepover,implausible
Determine whether the following statement or statements are plausible or implausible: Patrick Kane caught the screen pass,implausible
Determine whether the following statement or statements are plausible or implausible: Marcus Semien took a left footed shot,implausible
Determine whether the following statement or statements are plausible or implausible: Andrei Vasilevskiy launched a hail mary,implausible
Determine whether the following statement or statements are plausible or implausible: Neal Pionk shot from the six yard line,implausible
Determine whether the following statement or statements are plausible or implausible: John Collins hit the buzzer beater in the NBA Championship,plausible
Determine whether the following statement or statements are plausible or implausible: Brad Hand hit a homerun,plausible
Determine whether the following statement or statements are plausible or implausible: Alex DeBrincat performed a give and go,implausible
Determine whether the following statement or statements are plausible or implausible: Evander Kane threw a touchdown,implausible
Determine whether the following statement or statements are plausible or implausible: Wayne Rooney threw a touchdown in the Superbowl,implausible
Determine whether the following statement or statements are plausible or implausible: Nick Castellanos grounded out to second base,plausible
Determine whether the following statement or statements are plausible or implausible: Julian Edelman was called for icing in the Stanley Cup,implausible
Determine whether the following statement or statements are plausible or implausible: De'Aaron Fox crossed the blue line,implausible
Determine whether the following statement or statements are plausible or implausible: James Harden backhanded a shot,implausible
Determine whether the following statement or statements are plausible or implausible: Kris Bryant stepped on first base,plausible
Determine whether the following statement or statements are plausible or implausible: Darcy Kuemper scored a bicycle kick,implausible
Determine whether the following statement or statements are plausible or implausible: Franck Ribery converted the first down,implausible
Determine whether the following statement or statements are plausible or implausible: Thomas Muller did a double stepover,plausible
Determine whether the following statement or statements are plausible or implausible: Jonathan Marchessault beat the buzzer in the NBA Championship,implausible
Determine whether the following statement or statements are plausible or implausible: Ketel Marte got into the endzone,implausible
Determine whether the following statement or statements are plausible or implausible: Darijo Srna earned a red card,plausible
Determine whether the following statement or statements are plausible or implausible: T.J. McConnell committed a blocking foul in the Western Conference Finals,plausible
Determine whether the following statement or statements are plausible or implausible: Daniele De Rossi got a base hit,implausible
Determine whether the following statement or statements are plausible or implausible: Ramires lost control of the puck,implausible
Determine whether the following statement or statements are plausible or implausible: Willian performed a cruyff turn in the Champions Leage Semifinal,plausible
Determine whether the following statement or statements are plausible or implausible: Gerrit Cole set the hard screen,implausible
Determine whether the following statement or statements are plausible or implausible: Tom Wilson pitched a shutout,implausible
Determine whether the following statement or statements are plausible or implausible: Ben Simmons was called for the goal tend,plausible
Determine whether the following statement or statements are plausible or implausible: Deshaun Watson took a corner kick,implausible
Determine whether the following statement or statements are plausible or implausible: Robin Lehner took to the ice,plausible
Determine whether the following statement or statements are plausible or implausible: Gleyber Torres hit a double,plausible
Determine whether the following statement or statements are plausible or implausible: Adam Thielen hit the screen pass,plausible
Determine whether the following statement or statements are plausible or implausible: Brad Hand threw to first base,plausible
Determine whether the following statement or statements are plausible or implausible: Marcell Ozuna hit a single,plausible
Determine whether the following statement or statements are plausible or implausible: Anders Lee shot the puck,plausible
Determine whether the following statement or statements are plausible or implausible: Mike Trout hit the buzzer beater,implausible
Determine whether the following statement or statements are plausible or implausible: Brady Tkachuk was called for slashing,plausible
Determine whether the following statement or statements are plausible or implausible: Zach LaVine  drove into the restricted area,plausible
Determine whether the following statement or statements are plausible or implausible: Trent Grisham scored a touchdown,implausible
Determine whether the following statement or statements are plausible or implausible: Claude Giroux killed the powerplay in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Marcell Ozuna hit into a double play,plausible
Determine whether the following statement or statements are plausible or implausible: Sergio Aguero hit the buzzer beater in the NBA Championship,implausible
Determine whether the following statement or statements are plausible or implausible: Darius Garland  went one for two from the line,plausible
Determine whether the following statement or statements are plausible or implausible: Devin Booker shot a free throw in the NBA Championship,plausible
Determine whether the following statement or statements are plausible or implausible: Pierre-Luc Dubois scored in the shootout,plausible
Determine whether the following statement or statements are plausible or implausible: Yordan Alvarez was safe at first,plausible
Determine whether the following statement or statements are plausible or implausible: Connor McDavid threw a touchdown in the NFC divisional round,implausible
Determine whether the following statement or statements are plausible or implausible: Alex Bregman earned an indirect kick,implausible
Determine whether the following statement or statements are plausible or implausible: Mecole Hardman fumbled the ball,plausible
Determine whether the following statement or statements are plausible or implausible: Nelson Cruz was out at first,plausible
Determine whether the following statement or statements are plausible or implausible: William Nylander crossed the blue line,plausible
Determine whether the following statement or statements are plausible or implausible: David Luiz earned a direct kick,plausible
Determine whether the following statement or statements are plausible or implausible: Carson Wentz caught the screen pass,plausible
Determine whether the following statement or statements are plausible or implausible: Calvin Ridley skated behind the net,implausible
Determine whether the following statement or statements are plausible or implausible: Aaron Nola scored a header goal,implausible
Determine whether the following statement or statements are plausible or implausible: Nick Foles lost control of the puck,implausible
Determine whether the following statement or statements are plausible or implausible: J.T. Realmuto hit a homerun in the American League Championship Series,plausible
Determine whether the following statement or statements are plausible or implausible: Franmil Reyes was caught in a rundown,plausible
Determine whether the following statement or statements are plausible or implausible: Carlos Tevez converted the first down,implausible
Determine whether the following statement or statements are plausible or implausible: Ryan Tannehill scored a touchdown,plausible
Determine whether the following statement or statements are plausible or implausible: Frederik Andersen converted the first down,implausible
Determine whether the following statement or statements are plausible or implausible: Kyle Palmieri went in studs up,implausible
Determine whether the following statement or statements are plausible or implausible: Tyler Glasnow scored on the power play,implausible
Determine whether the following statement or statements are plausible or implausible: Sergio Ramos set the pick and roll,implausible
Determine whether the following statement or statements are plausible or implausible: Ezequiel Lavezzi was out at home in the American League Championship Series,implausible
Determine whether the following statement or statements are plausible or implausible: Jacob Markstrom scored in the shootout in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Brent Burns shot the puck,plausible
Determine whether the following statement or statements are plausible or implausible: Kyrie Irving scored a reverse dunk,plausible
Determine whether the following statement or statements are plausible or implausible: Sterling Shepard hit a walkoff homer,implausible
Determine whether the following statement or statements are plausible or implausible: Bastian Schweinsteiger earned a direct kick,plausible
Determine whether the following statement or statements are plausible or implausible: Mike Evans ran out of bounds,plausible
Determine whether the following statement or statements are plausible or implausible: Robert Woods hit a triple,implausible
Determine whether the following statement or statements are plausible or implausible: Michael Conforto comitted a three second violation,implausible
Determine whether the following statement or statements are plausible or implausible: Ketel Marte was out at second,plausible
Determine whether the following statement or statements are plausible or implausible: Marcelo was out at third,implausible
Determine whether the following statement or statements are plausible or implausible: Caris LeVert scored a corner kick,implausible
Determine whether the following statement or statements are plausible or implausible: Courtland Sutton hit a triple,implausible
Determine whether the following statement or statements are plausible or implausible: Mitchell Trubisky caught the screen pass,plausible
Determine whether the following statement or statements are plausible or implausible: Zack Greinke struck out,plausible
Determine whether the following statement or statements are plausible or implausible: Kendrick Nunn took a charge,plausible
Determine whether the following statement or statements are plausible or implausible: Stephen Curry scored a reverse layup,plausible
Determine whether the following statement or statements are plausible or implausible: Hernanes performed a cruyff turn,plausible
Determine whether the following statement or statements are plausible or implausible: Pepe converted the first down,implausible
Determine whether the following statement or statements are plausible or implausible: Santi Cazorla called for the screen,implausible
Determine whether the following statement or statements are plausible or implausible: Robert Covington was called for icing,implausible
Determine whether the following statement or statements are plausible or implausible: Pedro scored a corner kick in the European Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Nerlens Noel went for it on fourth down,implausible
Determine whether the following statement or statements are plausible or implausible: Delon Wright converted the first down,implausible
